iter	Passed	Remaining
0	2	217
1	3	157
2	4	147
3	5	133
4	6	125
5	7	117
6	8	117
7	9	114
8	10	110
9	11	107
10	13	106
11	14	103
12	15	101
13	16	99
14	17	98
15	18	96
16	19	95
17	20	94
18	21	92
19	22	90
20	23	88
21	24	87
22	25	85
23	26	84
24	27	82
25	28	80
26	29	79
27	30	78
28	31	76
29	32	75
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	66
37	40	65
38	41	64
39	42	63
40	42	61
41	43	60
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	64	41
61	65	40
62	66	39
63	67	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	76	31
71	77	30
72	78	29
73	79	28
74	80	26
75	82	25
76	83	24
77	84	23
78	85	22
79	86	21
80	88	20
81	89	19
82	90	18
83	90	17
84	91	16
85	93	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
